,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price,City,Cost of Living avg,Rent avg,Cost of Living Plus Rent avg,Local Purchasing Power avg
0,"Columbus, OH",117552.0,108500.0,51260.0,13430.0,192000.0,"Columbus, OH",984.8,1421.5,2856.5,9335.4
1,"Seattle-Tacoma-Bellevue, WA",117323.0,131167.0,65400.0,65760.0,491600.0,"Seattle, WA",1250.7,2528.2,4091.5,8971.3
2,"Charlotte-Concord-Gastonia, NC-SC",114122.0,107046.0,51000.0,12800.0,208500.0,"Charlotte, NC",989.9,1974.5,3221.1,8939.8
3,"Colorado Springs, CO",112118.0,111670.0,51430.0,5780.0,296500.0,"Colorado Springs, CO",1049.2,1594.0,3094.5,8493.1
4,"Dayton, OH",111616.0,99338.0,50100.0,4240.0,124100.0,"Dayton, OH",961.2,1072.1,2586.0,4887.7
5,"Greensboro-High Point, NC",111050.0,99612.0,44570.0,1560.0,136000.0,"Greensboro, NC",992.9,1445.4,2888.0,5721.9
6,"San Francisco-Oakland-Hayward, CA",111017.0,142101.0,72400.0,59550.0,946700.0,"San Francisco, CA",1326.9,4163.3,5290.7,8216.7
7,"San Francisco-Oakland-Hayward, CA",111017.0,142101.0,72400.0,59550.0,946700.0,"Oakland, CA",1313.0,3371.1,4754.9,6894.3
8,"San Antonio-New Braunfels, TX",110898.0,104688.0,46650.0,5410.0,194100.0,"San Antonio, TX",884.3,1469.5,2688.9,8494.9
9,"Dallas-Fort Worth-Arlington, TX",110891.0,111113.0,52590.0,46130.0,243900.0,"Fort Worth, TX",995.0,1551.7,2960.0,6949.2
10,"Dallas-Fort Worth-Arlington, TX",110891.0,111113.0,52590.0,46130.0,243900.0,"Dallas, TX",958.7,1926.5,3128.6,10530.6
11,"Durham-Chapel Hill, NC",110313.0,105018.0,59940.0,6800.0,243700.0,"Durham, NC",994.3,1616.2,2999.9,6464.2
12,"Atlanta-Sandy Springs-Roswell, GA",109849.0,106334.0,52750.0,38110.0,219600.0,"Atlanta, GA",1082.3,1865.4,3334.0,8063.0
13,"Cincinnati, OH-KY-IN",109013.0,98112.0,50030.0,8620.0,169900.0,"Cincinnati, OH",909.8,58597.6,2775.1,7723.6
